0,1,2,3,24,38
0,1,2,3,24,39
0,1,2,3,24,41
0,1,2,3,24,42
0,1,2,3,24,43
0,1,2,3,24,44
0,1,2,3,24,45
0,1,2,3,24,52
0,1,2,3,24,53
0,1,2,3,24,54
0,1,2,3,24,55
0,1,2,3,27,28
0,1,2,3,27,33
0,1,2,3,27,34
0,1,2,3,27,52
0,1,2,3,27,53
0,1,2,3,28,29
0,1,2,3,28,31
0,1,2,3,28,32
0,1,2,3,28,33
0,1,2,3,28,34
0,1,2,3,28,35
0,1,2,3,28,49
0,1,2,3,28,50
0,1,2,3,28,51
0,1,2,3,28,52
0,1,2,3,28,53
0,1,2,3,28,54
0,1,2,3,28,55
0,1,2,3,33,34
0,1,2,3,33,35
0,1,2,3,33,43
0,1,2,3,33,44
0,1,2,3,33,45
0,1,2,3,33,52
0,1,2,3,33,53
0,1,2,3,33,54
0,1,2,3,33,55
0,1,2,3,34,44
0,1,2,3,34,52
0,1,2,3,34,53
0,1,2,3,52,53
0,1,2,3,52,54
0,1,2,3,52,55
0,1,2,3,53,54
0,1,2,6,7,8
0,1,2,6,7,11
0,1,2,6,7,12
0,1,2,6,7,15
0,1,2,6,7,16
0,1,2,6,7,21
0,1,2,6,7,22
0,1,2,6,7,23
0,1,2,6,7,26
0,1,2,6,7,27
0,1,2,6,7,30
0,1,2,6,7,31
0,1,2,6,7,36
0,1,2,6,7,37
0,1,2,6,7,40
0,1,2,6,7,41
0,1,2,6,7,46
0,1,2,6,7,47
0,1,2,6,7,50
0,1,2,6,8,9
0,1,2,6,8,11
0,1,2,6,8,12
0,1,2,6,8,13
0,1,2,6,8,15
0,1,2,6,8,16
0,1,2,6,8,18
0,1,2,6,8,19
0,1,2,6,8,21
0,1,2,6,8,22
0,1,2,6,8,23
0,1,2,6,8,24
0,1,2,6,8,26
0,1,2,6,8,27
0,1,2,6,8,28
0,1,2,6,8,30
0,1,2,6,8,31
0,1,2,6,8,33
0,1,2,6,8,34
0,1,2,6,8,36
0,1,2,6,8,37
0,1,2,6,8,38
0,1,2,6,8,40
0,1,2,6,8,41
0,1,2,6,8,43
0,1,2,6,8,44
0,1,2,6,8,46
0,1,2,6,8,47
0,1,2,6,8,49
0,1,2,6,8,50
0,1,2,6,8,52
0,1,2,6,8,53
0,1,2,6,11,15
0,1,2,6,11,16
0,1,2,6,11,21
0,1,2,6,11,22
0,1,2,6,11,23
0,1,2,6,11,27
0,1,2,6,11,30
0,1,2,6,11,31
0,1,2,6,11,46
0,1,2,6,11,47
0,1,2,6,11,50
0,1,2,6,12,13
0,1,2,6,12,15
0,1,2,6,12,16
0,1,2,6,12,18
0,1,2,6,12,19
0,1,2,6,12,21
0,1,2,6,12,22
0,1,2,6,12,23
0,1,2,6,12,24
0,1,2,6,12,26
0,1,2,6,12,27
0,1,2,6,12,28
0,1,2,6,12,30
0,1,2,6,12,31
0,1,2,6,12,33
0,1,2,6,12,34
0,1,2,6,12,36
0,1,2,6,12,37
0,1,2,6,12,38
0,1,2,6,12,40
0,1,2,6,12,41
0,1,2,6,12,43
0,1,2,6,12,44
0,1,2,6,12,46
0,1,2,6,12,47
0,1,2,6,12,49
0,1,2,6,12,50
0,1,2,6,12,52
0,1,2,6,12,53
0,1,2,6,15,16
0,1,2,6,15,18
0,1,2,6,15,19
0,1,2,6,15,21
0,1,2,6,15,22
0,1,2,6,15,23
0,1,2,6,15,24
0,1,2,6,15,26
0,1,2,6,15,27
0,1,2,6,15,28
0,1,2,6,15,30
0,1,2,6,15,31
0,1,2,6,15,33
0,1,2,6,15,34
0,1,2,6,15,36
0,1,2,6,15,37
0,1,2,6,15,38
0,1,2,6,15,40
0,1,2,6,15,41
0,1,2,6,15,43
0,1,2,6,15,44
0,1,2,6,15,46
0,1,2,6,15,47
0,1,2,6,15,49
0,1,2,6,15,50
0,1,2,6,15,52
0,1,2,6,15,53
0,1,2,6,16,17
0,1,2,6,16,21
0,1,2,6,16,22
0,1,2,6,16,23
0,1,2,6,16,25
0,1,2,6,16,26
0,1,2,6,16,27
0,1,2,6,16,29
0,1,2,6,16,30
0,1,2,6,16,31
0,1,2,6,16,32
0,1,2,6,16,35
0,1,2,6,16,36
0,1,2,6,16,37
0,1,2,6,16,39
0,1,2,6,16,40
0,1,2,6,16,41
0,1,2,6,16,42
0,1,2,6,16,45
0,1,2,6,16,46
0,1,2,6,16,47
0,1,2,6,16,48
0,1,2,6,16,50
0,1,2,6,16,51
0,1,2,6,16,55
0,1,2,6,21,22
0,1,2,6,21,23
0,1,2,6,21,26
0,1,2,6,21,27
0,1,2,6,21,30
0,1,2,6,21,31
0,1,2,6,21,36
0,1,2,6,21,37
0,1,2,6,21,40
0,1,2,6,21,41
0,1,2,6,21,46
0,1,2,6,21,47
0,1,2,6,21,50
0,1,2,6,22,23
0,1,2,6,22,26
0,1,2,6,22,27
0,1,2,6,22,30
0,1,2,6,22,31
0,1,2,6,22,36
0,1,2,6,22,37
0,1,2,6,22,40
0,1,2,6,22,41
0,1,2,6,22,46
0,1,2,6,22,47
0,1,2,6,22,50
0,1,2,6,23,24
0,1,2,6,23,26
0,1,2,6,23,27
0,1,2,6,23,28
0,1,2,6,23,30
0,1,2,6,23,31
0,1,2,6,23,33
0,1,2,6,23,34
0,1,2,6,23,36
0,1,2,6,23,37
0,1,2,6,23,38
0,1,2,6,23,40
0,1,2,6,23,41
0,1,2,6,23,43
0,1,2,6,23,44
0,1,2,6,23,46
0,1,2,6,23,47
0,1,2,6,23,49
0,1,2,6,23,50
0,1,2,6,23,52
0,1,2,6,23,53
0,1,2,6,26,27
0,1,2,6,26,30
0,1,2,6,26,31
0,1,2,6,26,36
0,1,2,6,26,37
0,1,2,6,26,40
0,1,2,6,26,41
0,1,2,6,26,46
