0,22,23,43
0,22,23,44
0,22,23,53
0,22,26,27
0,22,26,30
0,22,26,31
0,22,26,47
0,22,26,50
0,22,27,28
0,22,27,30
0,22,27,31
0,22,27,33
0,22,27,34
0,22,27,38
0,22,27,40
0,22,27,41
0,22,27,43
0,22,27,44
0,22,27,47
0,22,27,49
0,22,27,50
0,22,27,53
0,22,30,33
0,22,30,34
0,22,30,37
0,22,30,38
0,22,30,41
0,22,30,43
0,22,30,44
0,22,30,50
0,22,30,53
0,22,31,32
0,22,31,40
0,22,31,41
0,22,31,42
0,22,31,45
0,22,31,48
0,22,31,50
0,22,31,51
0,22,40,43
0,22,40,44
0,22,40,53
0,22,41,42
0,22,41,50
0,22,41,51
0,27,28,29
0,27,28,31
0,27,28,32
0,27,28,50
1,2,3,4
1,2,3,6
1,2,3,7
1,2,3,9
1,2,3,18
1,2,3,19
1,2,3,22
1,2,3,24
1,2,3,27
1,2,3,28
1,2,3,33
1,2,3,34
1,2,3,53
1,2,6,7
1,2,6,8
1,2,6,11
1,2,6,12
1,2,6,15
1,2,6,16
1,2,6,22
1,2,6,23
1,2,6,26
1,2,6,27
1,2,6,30
1,2,6,31
1,2,6,37
1,2,6,40
1,2,6,41
1,2,6,47
1,2,6,50
1,2,7,8
1,2,7,15
1,2,7,16
1,2,7,22
1,2,7,23
1,2,7,27
1,2,7,30
1,2,7,31
1,2,7,47
1,2,7,50
1,2,8,9
1,2,8,12
1,2,8,13
1,2,8,15
1,2,8,16
1,2,8,18
1,2,8,19
1,2,8,22
1,2,8,23
1,2,8,24
1,2,8,26
1,2,8,27
1,2,8,28
1,2,8,30
1,2,8,31
1,2,8,33
1,2,8,34
1,2,8,37
1,2,8,38
1,2,8,40
1,2,8,41
1,2,8,43
1,2,8,44
1,2,8,47
1,2,8,49
1,2,8,50
1,2,8,53
1,2,15,16
1,2,15,18
1,2,15,19
1,2,15,22
1,2,15,23
1,2,15,24
1,2,15,27
1,2,15,28
1,2,15,30
1,2,15,31
1,2,15,33
1,2,15,34
1,2,15,47
1,2,15,49
1,2,15,50
1,2,15,53
1,2,16,17
1,2,16,22
1,2,16,23
1,2,16,25
1,2,16,27
1,2,16,29
1,2,16,30
1,2,16,31
1,2,16,32
1,2,16,35
1,2,16,47
1,2,16,48
1,2,16,50
1,2,16,51
1,2,22,26
1,2,22,27
1,2,22,30
1,2,22,31
1,2,22,37
1,2,22,40
1,2,22,41
1,2,22,47
1,2,22,50
1,2,23,27
1,2,23,28
1,2,23,30
1,2,23,31
1,2,23,33
1,2,23,34
1,2,23,37
1,2,23,38
1,2,23,40
1,2,23,41
1,2,23,43
1,2,23,44
1,2,23,47
1,2,23,49
1,2,23,50
1,2,23,53
1,2,27,28
1,2,27,30
1,2,27,31
1,2,27,33
1,2,27,34
1,2,27,47
1,2,27,49
1,2,27,50
1,2,27,53
1,2,30,31
1,2,30,33
1,2,30,34
1,2,30,40
1,2,30,41
1,2,30,43
1,2,30,44
1,2,30,47
1,2,30,49
1,2,30,50
1,2,30,53
1,2,31,32
1,2,31,41
1,2,31,42
1,2,31,47
1,2,31,48
1,2,31,50
1,2,31,51
1,2,47,48
1,2,47,49
1,2,47,50
1,2,47,51
1,2,47,54
1,6,7,8
1,6,7,11
1,6,7,12
1,6,7,15
1,6,7,16
1,6,7,37
1,6,7,40
1,6,7,41
1,6,7,47
1,6,7,50
1,6,11,12
1,6,11,15
1,6,11,16
1,6,11,27
1,6,11,30
1,6,11,31
1,6,11,40
1,6,11,41
1,6,11,47
1,6,11,50
1,6,12,13
1,6,12,19
1,6,12,27
1,6,12,28
1,6,12,34
1,6,12,37
1,6,12,38
1,6,12,41
1,6,12,43
1,6,12,44
1,6,12,53
1,6,37,40
1,6,37,41
1,6,37,43
1,6,37,44
1,6,37,49
1,6,37,50
1,6,37,53
1,6,41,42
1,7,8,9
1,7,8,11
1,7,8,12
1,7,8,13
1,7,8,18
1,7,8,19
1,7,8,22
1,7,8,24
1,7,8,26
1,7,8,27
1,7,8,28
1,7,8,33
1,7,8,34
1,7,8,37
1,7,8,38
1,7,8,41
1,7,8,43
1,7,8,44
1,7,8,53
1,7,11,15
1,7,11,16
1,7,11,22
1,7,11,23
1,7,11,27
1,7,11,30
1,7,11,31
1,7,11,40
1,7,11,41
1,7,11,47
1,7,11,50
1,7,12,13
1,7,12,15
1,7,12,16
1,7,12,18
1,7,12,19
1,7,12,23
1,7,12,24
1,7,12,26
1,7,12,27
1,7,12,28
1,7,12,30
1,7,12,31
1,7,12,33
1,7,12,34
1,7,12,37
1,7,12,38
1,7,12,40
1,7,12,41
1,7,12,43
1,7,12,44
1,7,12,47
1,7,12,49
1,7,12,50
1,7,12,53
1,7,15,16
1,7,15,18
1,7,15,19
1,7,15,23
1,7,15,24
1,7,15,26
1,7,15,27
1,7,15,28
1,7,15,31
1,7,15,33
1,7,15,34
1,7,15,37
1,7,15,38
1,7,15,41
1,7,15,43
1,7,15,44
1,7,15,49
1,7,15,50
1,7,15,53
1,7,16,17
1,7,16,23
1,7,16,25
1,7,16,26
1,7,16,27
1,7,16,29
1,7,16,30
