0,1,11,23,34
0,1,11,23,36
0,1,11,23,37
0,1,11,23,38
0,1,11,23,40
0,1,11,23,41
0,1,11,23,43
0,1,11,23,44
0,1,11,23,46
0,1,11,23,47
0,1,11,23,49
0,1,11,23,50
0,1,11,23,52
0,1,11,23,53
0,1,11,26,27
0,1,11,26,30
0,1,11,26,31
0,1,11,26,37
0,1,11,26,40
0,1,11,26,41
0,1,11,26,46
0,1,11,26,47
0,1,11,26,50
0,1,11,27,28
0,1,11,27,30
0,1,11,27,31
0,1,11,27,33
0,1,11,27,34
0,1,11,27,36
0,1,11,27,37
0,1,11,27,38
0,1,11,27,40
0,1,11,27,41
0,1,11,27,43
0,1,11,27,44
0,1,11,27,46
0,1,11,27,47
0,1,11,27,49
0,1,11,27,50
0,1,11,27,52
0,1,11,27,53
0,1,11,30,31
0,1,11,30,33
0,1,11,30,34
0,1,11,30,36
0,1,11,30,37
0,1,11,30,38
0,1,11,30,40
0,1,11,30,41
0,1,11,30,43
0,1,11,30,44
0,1,11,30,46
0,1,11,30,47
0,1,11,30,49
0,1,11,30,50
0,1,11,30,52
0,1,11,30,53
0,1,11,31,32
0,1,11,31,36
0,1,11,31,37
0,1,11,31,39
0,1,11,31,40
0,1,11,31,41
0,1,11,31,42
0,1,11,31,45
0,1,11,31,46
0,1,11,31,47
0,1,11,31,48
0,1,11,31,50
0,1,11,31,51
0,1,11,31,55
0,1,11,36,41
0,1,11,36,46
0,1,11,36,47
0,1,11,36,50
0,1,11,37,38
0,1,11,37,40
0,1,11,37,41
0,1,11,37,43
0,1,11,37,44
0,1,11,37,46
0,1,11,37,47
0,1,11,37,49
0,1,11,37,50
0,1,11,37,52
0,1,11,37,53
0,1,11,40,41
0,1,11,40,43
0,1,11,40,44
0,1,11,40,46
0,1,11,40,47
0,1,11,40,49
0,1,11,40,50
0,1,11,40,52
0,1,11,40,53
0,1,11,41,42
0,1,11,41,46
0,1,11,41,47
0,1,11,41,48
0,1,11,41,50
0,1,11,41,51
0,1,11,41,55
0,1,11,46,47
0,1,11,46,49
0,1,11,46,50
0,1,11,46,52
0,1,11,46,53
0,1,11,47,48
0,1,11,47,49
0,1,11,47,50
0,1,11,47,51
0,1,11,47,54
0,1,12,13,14
0,1,12,13,16
0,1,12,13,17
0,1,12,13,21
0,1,12,13,22
0,1,12,13,23
0,1,12,13,25
0,1,12,13,26
0,1,12,13,27
0,1,12,13,29
0,1,12,13,30
0,1,12,13,31
0,1,12,13,32
0,1,12,13,35
0,1,12,13,36
0,1,12,13,37
0,1,12,13,39
0,1,12,13,40
0,1,12,13,41
0,1,12,13,42
0,1,12,13,45
0,1,12,13,46
0,1,12,13,47
0,1,12,13,48
0,1,12,13,50
0,1,12,13,51
0,1,12,13,55
0,1,12,19,21
0,1,12,19,22
0,1,12,19,26
0,1,12,19,27
0,1,12,19,28
0,1,12,19,36
0,1,12,19,37
0,1,12,19,38
0,1,12,19,41
0,1,12,21,26
0,1,12,21,27
0,1,12,21,28
0,1,12,21,33
0,1,12,21,34
0,1,12,21,36
0,1,12,21,37
0,1,12,21,38
0,1,12,21,41
0,1,12,21,43
0,1,12,21,44
0,1,12,21,52
0,1,12,21,53
0,1,12,22,23
0,1,12,22,24
0,1,12,22,26
0,1,12,22,27
0,1,12,22,28
0,1,12,22,30
0,1,12,22,31
0,1,12,22,33
0,1,12,22,34
0,1,12,22,36
0,1,12,22,37
0,1,12,22,38
0,1,12,22,40
0,1,12,22,41
0,1,12,22,43
0,1,12,22,44
0,1,12,22,46
0,1,12,22,47
